slug,teamName,abbreviation,seasonMin,seasonMax,seasonCount,playerSeasonRows
simpson-ca,"Simpson CA",SC,2011-12,2020-21,7,80
simpson-ia,"Simpson IA",SI,2014-15,2019-20,4,64
sioux-falls,"Sioux Falls",SF,2011-12,2011-12,1,10
siu,"SIU",SIU,2018-19,2025-26,8,94
siu-edwardsville,"SIU Edwardsville",SE,2010-11,2017-18,8,140
siue,"SIUE",SIUE,2018-19,2025-26,8,111
sjsu,"SJSU",SJSU,2018-19,2025-26,8,104
skidmore,"Skidmore",SKIDMO,2018-19,2018-19,1,12
slc,"SLC",SLC,2023-24,2024-25,2,32
smc,"SMC",SMC,2022-23,2025-26,4,52
smsu,"SMSU",SMSU,2018-19,2023-24,2,19
smu,"SMU",SMU,2010-11,2025-26,16,241
smwc,"SMWC",SMWC,2024-25,2024-25,1,12
so-poly-state,"So.Poly State",SS,2013-14,2013-14,1,9
sonoma-st,"Sonoma St.",SS,2012-13,2023-24,7,92
southeastern,"Southeastern",SOUTHE,2011-12,2018-19,5,58
southern,"Southern",SOUTHE,2010-11,2025-26,16,266
southern-miss,"Southern Miss",SM,2018-19,2025-26,8,110
southwest,"Southwest",SOUTHW,2014-15,2024-25,5,61
southwestern,"Southwestern",SOUTHW,2018-19,2024-25,3,47
southwestern-ks,"Southwestern KS",SK,2018-19,2018-19,1,14
southwestern-tx,"Southwestern TX",ST,2013-14,2017-18,2,28
spalding,"Spalding",SPALDI,2011-12,2023-24,5,65
spring-arbor,"Spring Arbor",SA,2017-18,2017-18,1,14
spring-hill,"Spring Hill",SH,2011-12,2024-25,12,147
springfield,"Springfield",SPRING,2024-25,2024-25,1,12
ssu,"SSU",SSU,2018-19,2018-19,1,14
st-ambrose,"St.Ambrose",ST.AMB,2015-16,2024-25,4,59
st-andrews,"St.Andrews",ST.AND,2012-13,2024-25,11,141
st-augustine,"St.Augustine",ST.AUG,2023-24,2023-24,1,11
st-bonaventure,"St.Bonaventure",ST.BON,2010-11,2025-26,16,220
st-catharine,"St.Catharine",ST.CAT,2013-14,2015-16,3,32
st-edward-s,"St.Edward's",ST.EDW,2013-14,2018-19,6,77
st-elizabeth,"St.Elizabeth",ST.ELI,2018-19,2024-25,3,45
st-francis-il,"St.Francis IL",SI,2011-12,2024-25,10,148
st-francis-ny,"St.Francis NY",SN,2010-11,2017-18,8,145
st-francis-pa,"St.Francis PA",SP,2010-11,2017-18,8,160
st-gregory,"St.Gregory",ST.GRE,2011-12,2012-13,2,25
st-john-s,"St.John's",ST.JOH,2010-11,2025-26,16,235
st-jos-brooklyn,"St.Jos.-Brooklyn",ST.JOS,2011-12,2018-19,3,33
st-joseph-in,"St.Joseph IN",SI,2011-12,2016-17,4,49
st-joseph-s,"St.Joseph's",ST.JOS,2010-11,2025-26,16,252
st-joseph-s-li,"St.Joseph's-LI",ST.JOS,2023-24,2024-25,2,35
st-joseph-s-ny,"St.Joseph's NY",SN,2011-12,2011-12,1,9
st-katherine,"St.Katherine",ST.KAT,2013-14,2023-24,5,72
st-leo,"St.Leo",ST.LEO,2011-12,2018-19,3,35
st-louis,"St.Louis",ST.LOU,2010-11,2025-26,16,246
st-louis-cop,"St.Louis COP",SC,2019-20,2020-21,2,22
st-martin-s,"St.Martin's",ST.MAR,2013-14,2020-21,4,46
st-mary-of-the-woods,"St.Mary of the Woods",SOTW,2023-24,2023-24,1,19
st-mary-s-ca,"St.Mary's CA",SC,2010-11,2021-22,12,191
st-mary-s-ks,"St.Mary's KS",SK,2011-12,2023-24,2,28
st-mary-s-md,"St.Mary's MD",SM,2016-17,2023-24,6,84
st-mary-s-mn,"St.Mary's MN",SM,2015-16,2017-18,3,48
st-mary-s-tx,"St.Mary's TX",ST,2016-17,2020-21,5,58
st-norbert,"St.Norbert",ST.NOR,2024-25,2024-25,1,16
st-peter-s,"St.Peter's",ST.PET,2010-11,2025-26,16,229
st-rose-ny,"St.Rose NY",SN,2014-15,2014-15,1,11
st-thomas,"St.Thomas",ST.THO,2021-22,2025-26,5,61
st-thomas-aquinas,"St.Thomas Aquinas",SA,2014-15,2014-15,1,12
st-thomas-fl,"St.Thomas FL",SF,2011-12,2019-20,2,22
st-thomas-tx,"St.Thomas TX",ST,2011-12,2024-25,9,111
st-vincent,"St.Vincent",ST.VIN,2023-24,2023-24,1,16
st-xavier,"St.Xavier",ST.XAV,2014-15,2023-24,2,21
stanford,"Stanford",STANFO,2010-11,2025-26,16,260
stanton,"Stanton",STANTO,2023-24,2023-24,1,8
staten-island,"Staten Island",SI,2015-16,2017-18,3,41
sterling,"Sterling",STERLI,2023-24,2023-24,1,16
stetson,"Stetson",STETSO,2010-11,2025-26,16,247
stillman,"Stillman",STILLM,2013-14,2014-15,2,24
stockton,"Stockton",STOCKT,2018-19,2018-19,1,14
stonehill,"Stonehill",STONEH,2022-23,2025-26,4,62
stony-brook,"Stony Brook",SB,2010-11,2025-26,16,244
suffolk,"Suffolk",SUFFOL,2011-12,2023-24,3,35
sul-ross-st,"Sul Ross St.",SRS,2015-16,2024-25,5,73
suno,"SUNO",SUNO,2014-15,2024-25,6,75
suny-canton,"SUNY Canton",SC,2018-19,2018-19,1,15
suny-cob,"SUNY Cob",SC,2011-12,2011-12,1,7
suny-delhi,"SUNY Delhi",SD,2023-24,2024-25,2,32
suny-maritime,"SUNY Maritime",SM,2017-18,2024-25,4,53
suny-poly,"SUNY Poly",SP,2024-25,2024-25,1,14
sunyit,"SUNYIT",SUNYIT,2019-20,2019-20,1,12
susquehanna,"Susquehanna",SUSQUE,2014-15,2017-18,2,28
suu,"SUU",SUU,2018-19,2025-26,8,110
svsu,"SVSU",SVSU,2023-24,2023-24,1,12
svu,"SVU",SVU,2020-21,2024-25,3,43
sw-adventist,"SW Adventist",SA,2013-14,2024-25,4,45
sw-baptist,"SW Baptist",SB,2019-20,2019-20,1,11
sw-christian,"SW Christian",SC,2013-14,2024-25,5,60
sw-minnesota-st,"SW Minnesota St.",SMS,2011-12,2013-14,3,31
sw-oklahoma-st,"SW Oklahoma St.",SOS,2013-14,2013-14,1,14
swarthmore,"Swarthmore",SWARTH,2011-12,2011-12,1,12
swosu,"SWOSU",SWOSU,2023-24,2023-24,1,12
syracuse,"Syracuse",SYRACU,2010-11,2025-26,16,276
tabor,"Tabor",TABOR,2011-12,2024-25,6,78
talladega,"Talladega",TALLAD,2011-12,2023-24,2,23
tamiu,"TAMIU",TAMIU,2018-19,2020-21,2,21
tampa,"Tampa",TAMPA,2013-14,2019-20,3,30
tamucc,"TAMUCC",TAMUCC,2018-19,2025-26,8,113
tamuk,"TAMUK",TAMUK,2024-25,2024-25,1,13
tamusa,"TAMUSA",TAMUSA,2024-25,2024-25,1,13
tarleton-st,"Tarleton St.",TS,2020-21,2025-26,6,90
taylor,"Taylor",TAYLOR,2013-14,2024-25,2,25
tcnj,"TCNJ",TCNJ,2011-12,2011-12,1,15
tcu,"TCU",TCU,2010-11,2025-26,16,252
temple,"Temple",TEMPLE,2010-11,2025-26,16,228
tenn-martin,"Tenn-Martin",TENN-M,2010-11,2017-18,8,144
tenn-tech,"Tenn Tech",TT,2010-11,2025-26,16,261
tenn-temple,"Tenn Temple",TT,2011-12,2014-15,3,40
tenn-wesleyan,"Tenn Wesleyan",TW,2015-16,2017-18,3,40
tennessee,"Tennessee",TENNES,2010-11,2025-26,16,258
tennessee-st,"Tennessee St.",TS,2010-11,2025-26,16,246
tex-a-m-kingsv,"Tex.A&M-Kingsv.",TEX.A&,2014-15,2016-17,3,34
texas,"Texas",TEXAS,2010-11,2025-26,16,242
texas-a-m,"Texas A&M",TA,2010-11,2025-26,16,265
texas-a-m-cc,"Texas A&M-CC",TA,2010-11,2017-18,8,152
texas-a-m-int,"Texas A&M Int.",TAI,2011-12,2017-18,5,55
texas-arlington,"Texas Arlington",TA,2010-11,2017-18,8,146
texas-coll,"Texas Coll.",TC,2011-12,2024-25,6,71
texas-dallas,"Texas Dallas",TD,2016-17,2017-18,2,31
texas-lutheran,"Texas Lutheran",TL,2011-12,2024-25,9,139
texas-pb,"Texas-PB",TEXAS-,2013-14,2015-16,2,21
texas-southern,"Texas Southern",TS,2010-11,2025-26,16,253
texas-st,"Texas St.",TS,2010-11,2025-26,16,255
texas-tech,"Texas Tech",TT,2010-11,2025-26,16,238
texas-tyler,"Texas Tyler",TT,2013-14,2017-18,4,69
texas-wesleyan,"Texas Wesleyan",TW,2011-12,2015-16,2,18
thiel,"Thiel",THIEL,2013-14,2019-20,4,46
thomas,"Thomas",THOMAS,2013-14,2024-25,5,67
thomas-jefferson,"Thomas Jefferson",TJ,2013-14,2013-14,1,6
thomas-more,"Thomas More",TM,2015-16,2015-16,1,17
thomas-univ,"Thomas Univ.",TU,2014-15,2019-20,5,61
tiffin,"Tiffin",TIFFIN,2014-15,2023-24,6,74
tmu,"TMU",TMU,2018-19,2024-25,4,58
toccoa-falls,"Toccoa Falls",TF,2011-12,2024-25,11,136
toledo,"Toledo",TOLEDO,2010-11,2025-26,16,226
tougaloo,"Tougaloo",TOUGAL,2013-14,2019-20,5,58
towson,"Towson",TOWSON,2010-11,2025-26,16,244
transylvania,"Transylvania",TRANSY,2014-15,2020-21,2,31
trevecca,"Trevecca",TREVEC,2018-19,2023-24,4,59
trevecca-naz,"Trevecca Naz.",TN,2011-12,2017-18,5,63
trinity-baptist,"Trinity Baptist",TB,2011-12,2024-25,10,160
trinity-christian,"Trinity Christian",TC,2012-13,2024-25,9,118
trinity-ct,"Trinity CT",TC,2023-24,2023-24,1,16
trinity-fl,"Trinity FL",TF,2013-14,2024-25,6,79
trinity-intern,"Trinity Intern.",TI,2014-15,2015-16,2,22
trinity-tx,"Trinity TX",TT,2013-14,2024-25,5,76
troy,"Troy",TROY,2010-11,2025-26,16,248
truett-mcconnell,"Truett-McConnell",TRUETT,2013-14,2016-17,4,58
truman-st,"Truman St.",TS,2013-14,2023-24,6,67
tulane,"Tulane",TULANE,2010-11,2025-26,16,259
tulsa,"Tulsa",TULSA,2010-11,2025-26,16,241
tusculum,"Tusculum",TUSCUL,2013-14,2024-25,8,103
tuskegee,"Tuskegee",TUSKEG,2012-13,2020-21,4,47
twu,"TWU",TWU,2019-20,2024-25,3,40
txwes,"TxWes",TXWES,2018-19,2024-25,3,32
uab,"UAB",UAB,2010-11,2025-26,16,235
uafs,"UAFS",UAFS,2023-24,2023-24,1,10
ualr,"UALR",UALR,2010-11,2025-26,16,230
uam,"UAM",UAM,2018-19,2019-20,2,21
uapb,"UAPB",UAPB,2018-19,2025-26,8,119
uc-davis,"UC Davis",UD,2018-19,2025-26,8,104
uc-irvine,"UC Irvine",UI,2018-19,2025-26,8,101
uc-merced,"UC Merced",UM,2018-19,2023-24,3,42
uc-riverside,"UC Riverside",UR,2018-19,2025-26,8,97
uc-santa-cruz,"UC Santa Cruz",USC,2018-19,2019-20,2,27
uccs,"UCCS",UCCS,2024-25,2024-25,1,11
ucf,"UCF",UCF,2018-19,2025-26,8,99
ucla,"UCLA",UCLA,2010-11,2025-26,16,241
uco,"UCO",UCO,2019-20,2019-20,1,11
uconn,"UConn",UCONN,2018-19,2025-26,8,99
ucsb,"UCSB",UCSB,2010-11,2025-26,16,267
ucsd,"UCSD",UCSD,2020-21,2025-26,6,75
udc,"UDC",UDC,2024-25,2024-25,1,12
uftl,"UFTL",UFTL,2023-24,2024-25,2,24
uhsp,"UHSP",UHSP,2023-24,2024-25,2,24
uic,"UIC",UIC,2018-19,2025-26,8,96
uis,"UIS",UIS,2019-20,2019-20,1,11
uiw,"UIW",UIW,2018-19,2025-26,8,104
ulm,"ULM",ULM,2018-19,2025-26,8,103
um-dearborn,"UM-Dearborn",UM-DEA,2019-20,2019-20,1,13
umass,"UMass",UMASS,2018-19,2025-26,8,110
umass-boston,"UMass Boston",UB,2018-19,2024-25,4,54
umass-lowell,"UMass Lowell",UL,2018-19,2025-26,8,96
umbc,"UMBC",UMBC,2010-11,2025-26,16,239
umc,"UMC",UMC,2024-25,2024-25,1,10
umes,"UMES",UMES,2018-19,2025-26,7,92
umfk,"UMFK",UMFK,2018-19,2024-25,2,24
umhb,"UMHB",UMHB,2020-21,2020-21,1,17
umkc,"UMKC",UMKC,2010-11,2025-26,16,245
umpi,"UMPI",UMPI,2023-24,2023-24,1,13
umsl,"UMSL",UMSL,2019-20,2019-20,1,12
umw,"UMW",UMW,2018-19,2020-21,3,29
unc,"UNC",UNC,2018-19,2025-26,8,115
unc-asheville,"UNC Asheville",UA,2018-19,2025-26,8,105
unc-pembroke,"UNC Pembroke",UP,2011-12,2011-12,1,12
uncg,"UNCG",UNCG,2018-19,2025-26,8,104
uncw,"UNCW",UNCW,2018-19,2025-26,8,105
unf,"UNF",UNF,2018-19,2025-26,8,94
unh,"UNH",UNH,2018-19,2025-26,8,90
uni,"UNI",UNI,2018-19,2025-26,8,103
union-ky,"Union KY",UK,2012-13,2012-13,1,15
union-ny,"Union NY",UN,2016-17,2016-17,1,16
union-tn,"Union TN",UT,2015-16,2024-25,3,30
univ-sciences,"Univ.Sciences",UNIV.S,2014-15,2014-15,1,8
unk,"UNK",UNK,2019-20,2019-20,1,10
unlv,"UNLV",UNLV,2010-11,2025-26,16,236
unoh,"UNOH",UNOH,2018-19,2019-20,2,24
unt-dallas,"UNT Dallas",UD,2023-24,2024-25,2,25
upper-iowa,"Upper Iowa",UI,2011-12,2011-12,1,14
urbana,"Urbana",URBANA,2011-12,2019-20,8,89
uri,"URI",URI,2018-19,2025-26,8,93
ursinus,"Ursinus",URSINU,2013-14,2015-16,2,20
usa,"USA",USA,2018-19,2025-26,8,87
usao,"USAO",USAO,2023-24,2023-24,1,17
usc,"USC",USC,2010-11,2025-26,16,248
usc-upstate,"USC Upstate",UU,2010-11,2025-26,16,235
usf,"USF",USF,2010-11,2025-26,16,248
usmma,"USMMA",USMMA,2019-20,2024-25,4,34
ut-arlington,"UT Arlington",UA,2018-19,2025-26,8,100
ut-dallas,"UT Dallas",UD,2019-20,2024-25,2,31
ut-martin,"UT Martin",UM,2018-19,2025-26,8,101
ut-southern,"UT Southern",US,2018-19,2019-20,2,22
ut-tyler,"UT Tyler",UT,2018-19,2023-24,2,30
utah,"Utah",UTAH,2010-11,2025-26,16,256
utah-st,"Utah St.",US,2010-11,2025-26,16,239
utah-tech,"Utah Tech",UT,2022-23,2025-26,4,52
utah-valley,"Utah Valley",UV,2010-11,2025-26,16,236
utep,"UTEP",UTEP,2010-11,2025-26,16,249
utica,"Utica",UTICA,2015-16,2015-16,1,13
utpb,"UTPB",UTPB,2018-19,2024-25,4,44
utrgv,"UTRGV",UTRGV,2010-11,2025-26,16,264
utsa,"UTSA",UTSA,2010-11,2025-26,16,243
uva-wise,"UVA Wise",UW,2019-20,2024-25,2,18
uvf,"UVF",UVF,2019-20,2024-25,2,32
uvi,"UVI",UVI,2018-19,2018-19,1,11
uw-parkside,"UW-Parkside",UW-PAR,2018-19,2018-19,1,14
uw-river-falls,"UW-River Falls",UF,2023-24,2023-24,1,21
uw-stout,"UW-Stout",UW-STO,2018-19,2024-25,4,70
uwa,"UWA",UWA,2018-19,2018-19,1,10
uwg,"UWG",UWG,2024-25,2025-26,2,25
va-intermont,"Va Intermont",VI,2011-12,2013-14,2,21
va-lynchburg,"Va.Lynchburg",VA.LYN,2013-14,2024-25,4,54
valley-city-st,"Valley City St.",VCS,2011-12,2017-18,4,49
valley-forge,"Valley Forge",VF,2016-17,2017-18,2,22
valparaiso,"Valparaiso",VALPAR,2010-11,2017-18,8,136
valpo,"Valpo",VALPO,2018-19,2025-26,8,108
vanderbilt,"Vanderbilt",VANDER,2010-11,2025-26,16,254
vanguard,"Vanguard",VANGUA,2011-12,2023-24,9,103
vassar,"Vassar",VASSAR,2023-24,2023-24,1,14
vcsu,"VCSU",VCSU,2023-24,2023-24,1,10
vcu,"VCU",VCU,2010-11,2025-26,16,235
vermont,"Vermont",VERMON,2010-11,2025-26,16,248
victory,"Victory",VICTOR,2011-12,2011-12,1,12
villanova,"Villanova",VILLAN,2010-11,2025-26,16,229
virginia,"Virginia",VIRGIN,2010-11,2025-26,16,250
virginia-tech,"Virginia Tech",VT,2010-11,2025-26,16,231
virginia-union,"Virginia Union",VU,2013-14,2013-14,1,11
virginia-wise,"Virginia-Wise",VIRGIN,2011-12,2016-17,4,44
viterbo,"Viterbo",VITERB,2013-14,2013-14,1,14
vmi,"VMI",VMI,2010-11,2025-26,16,208
voorhees,"Voorhees",VOORHE,2013-14,2024-25,6,70
vtsu-johnson,"VTSU Johnson",VJ,2023-24,2024-25,2,25
vtsu-lyndon,"VTSU Lyndon",VL,2023-24,2024-25,2,34
vtsu-randolph,"VTSU Randolph",VR,2024-25,2024-25,1,15
vwu,"VWU",VWU,2020-21,2024-25,3,41
w-alabama,"W.Alabama",W.ALAB,2011-12,2013-14,2,22
w-c-baptist,"W.C.Baptist",W.C.BA,2016-17,2019-20,4,52
w-carolina,"W.Carolina",W.CARO,2010-11,2017-18,8,149
w-illinois,"W.Illinois",W.ILLI,2010-11,2025-26,16,243
w-kentucky,"W.Kentucky",W.KENT,2010-11,2017-18,8,154
w-michigan,"W.Michigan",W.MICH,2010-11,2025-26,16,252
w-new-england,"W.New England",WE,2016-17,2023-24,3,45
w-new-mexico,"W.New Mexico",WM,2011-12,2017-18,3,32
w-oregon,"W.Oregon",W.OREG,2011-12,2016-17,3,35
w-virg-wesl,"W.Virg.Wesl.",W.VIRG,2013-14,2016-17,2,22
w-virginia,"W.Virginia",W.VIRG,2010-11,2017-18,8,147
w-virginia-tech,"W.Virginia Tech",WT,2011-12,2015-16,4,42
wabash,"Wabash",WABASH,2016-17,2018-19,2,29
wagner,"Wagner",WAGNER,2010-11,2025-26,16,228
wake-forest,"Wake Forest",WF,2010-11,2025-26,16,280
waldorf,"Waldorf",WALDOR,2011-12,2024-25,6,74
walla-walla,"Walla Walla",WW,2011-12,2024-25,9,113
warner,"Warner",WARNER,2011-12,2024-25,6,65
warren-wilson,"Warren Wilson",WW,2011-12,2023-24,8,89
wartburg,"Wartburg",WARTBU,2017-18,2017-18,1,18
wash-adventist,"Wash.Adventist",WASH.A,2011-12,2017-18,3,31
washburn,"Washburn",WASHBU,2011-12,2020-21,2,23
washington,"Washington",WASHIN,2010-11,2025-26,16,367
washington-lee,"Washington & Lee",W&L,2013-14,2013-14,1,11
washington-st,"Washington St.",WS,2010-11,2017-18,8,145
wau,"WAU",WAU,2018-19,2024-25,3,30
wayland-baptist,"Wayland Baptist",WB,2013-14,2017-18,4,47
wayne-st-ne,"Wayne St. NE",WSN,2013-14,2016-17,4,44
wbu,"WBU",WBU,2018-19,2019-20,2,37
wcu,"WCU",WCU,2018-19,2025-26,8,134
webber,"Webber",WEBBER,2018-19,2024-25,3,34
webber-intern,"Webber Intern.",WI,2011-12,2017-18,6,78
weber-st,"Weber St.",WS,2010-11,2025-26,16,239
welch,"Welch",WELCH,2018-19,2018-19,1,10
wells,"Wells",WELLS,2023-24,2023-24,1,16
wentworth,"Wentworth",WENTWO,2011-12,2023-24,5,68
wesley,"Wesley",WESLEY,2011-12,2019-20,5,67
westcliff,"Westcliff",WESTCL,2018-19,2024-25,4,59
western-st,"Western St.",WS,2011-12,2019-20,8,97
westfield-st,"Westfield St.",WS,2023-24,2023-24,1,12
westminster-mo,"Westminster MO",WM,2015-16,2024-25,2,35
westminster-pa,"Westminster PA",WP,2013-14,2023-24,7,107
westminster-ut,"Westminster UT",WU,2011-12,2024-25,5,61
westmont,"Westmont",WESTMO,2011-12,2023-24,5,56
wheaton-ma,"Wheaton MA",WM,2017-18,2017-18,1,13
wheelock,"Wheelock",WHEELO,2013-14,2017-18,5,60
whittier,"Whittier",WHITTI,2012-13,2024-25,5,55
whitworth,"Whitworth",WHITWO,2017-18,2020-21,2,23
wichita-st,"Wichita St.",WS,2010-11,2025-26,16,250
widener,"Widener",WIDENE,2015-16,2019-20,2,27
wilberforce,"Wilberforce",WILBER,2011-12,2023-24,5,67
wiley,"Wiley",WILEY,2011-12,2023-24,7,81
wilkes,"Wilkes",WILKES,2023-24,2023-24,1,14
willamette,"Willamette",WILLAM,2011-12,2024-25,8,112
william-carey,"William Carey",WC,2012-13,2024-25,10,117
william-jessup,"William Jessup",WJ,2013-14,2020-21,6,80
william-jewell,"William Jewell",WJ,2014-15,2020-21,5,61
william-mary,"William & Mary",W&M,2010-11,2025-26,16,245
william-peace,"William Peace",WP,2014-15,2024-25,7,111
william-woods,"William Woods",WW,2015-16,2015-16,1,12
williams-baptist,"Williams Baptist",WB,2015-16,2017-18,3,36
wilmington-de,"Wilmington DE",WD,2012-13,2016-17,3,31
wilmington-oh,"Wilmington OH",WO,2011-12,2018-19,5,71
wilmu,"WILMU",WILMU,2018-19,2018-19,1,12
wilson,"Wilson",WILSON,2018-19,2018-19,1,9
wingate,"Wingate",WINGAT,2013-14,2020-21,2,24
winston-salem,"Winston Salem",WS,2012-13,2012-13,1,11
winthrop,"Winthrop",WINTHR,2010-11,2025-26,16,258
wisc-la-crosse,"Wisc.-La Crosse",WC,2017-18,2017-18,1,10
wisc-lutheran,"Wisc.Lutheran",WISC.L,2018-19,2019-20,2,38
wisc-milwaukee,"Wisc.-Milwaukee",WISC.-,2010-11,2017-18,8,152
wisc-parkside,"Wisc.-Parkside",WISC.-,2013-14,2017-18,2,22
wisc-superior,"Wisc.-Superior",WISC.-,2015-16,2015-16,1,15
wisconsin,"Wisconsin",WISCON,2010-11,2025-26,16,266
wittenberg,"Wittenberg",WITTEN,2013-14,2023-24,2,27
wku,"WKU",WKU,2018-19,2025-26,8,103
wlu,"WLU",WLU,2023-24,2023-24,1,12
wnmu,"WNMU",WNMU,2019-20,2024-25,4,49
wofford,"Wofford",WOFFOR,2010-11,2025-26,16,250
worcester-st,"Worcester St.",WS,2015-16,2023-24,2,27
wou,"WOU",WOU,2023-24,2024-25,2,22
wpi,"WPI",WPI,2024-25,2024-25,1,12
wpu,"WPU",WPU,2020-21,2023-24,2,23
wright-st,"Wright St.",WS,2010-11,2025-26,16,235
wssu,"WSSU",WSSU,2018-19,2018-19,1,14
wsu,"WSU",WSU,2018-19,2025-26,8,89
wvu,"WVU",WVU,2018-19,2025-26,8,97
wvu-tech,"WVU Tech",WT,2020-21,2023-24,2,21
wvwc,"WVWC",WVWC,2024-25,2024-25,1,16
wwu,"WWU",WWU,2018-19,2024-25,3,34
wyoming,"Wyoming",WYOMIN,2010-11,2025-26,16,230
xavier,"Xavier",XAVIER,2010-11,2025-26,16,248
xavier-la,"Xavier LA",XL,2016-17,2024-25,4,44
yale,"Yale",YALE,2010-11,2025-26,15,267
yellowstone-chr,"Yellowstone Chr.",YC,2020-21,2020-21,1,9
york-ne,"York NE",YN,2015-16,2024-25,3,45
york-ny,"York NY",YN,2024-25,2024-25,1,12
york-pa,"York PA",YP,2017-18,2017-18,1,14
young-harris,"Young Harris",YH,2013-14,2014-15,2,17
youngstown-st,"Youngstown St.",YS,2010-11,2017-18,8,141
ysu,"YSU",YSU,2018-19,2025-26,8,104
