slug,teamName,abbreviation,seasonMin,seasonMax,seasonCount,playerSeasonRows
n-alabama,"N.Alabama",N.ALAB,2014-15,2025-26,9,111
n-arizona,"N.Arizona",N.ARIZ,2010-11,2017-18,8,158
n-c-central,"N.C.Central",N.C.CE,2010-11,2017-18,8,149
n-carolina,"N.Carolina",N.CARO,2010-11,2017-18,8,161
n-carolina-a-t,"N.Carolina A&T",NA,2010-11,2017-18,8,155
n-central-coll,"N.Central Coll.",NC,2024-25,2024-25,1,19
n-central-univ,"N.Central Univ.",NU,2019-20,2024-25,3,39
n-colorado,"N.Colorado",N.COLO,2010-11,2025-26,16,247
n-dakota,"N.Dakota",N.DAKO,2010-11,2025-26,16,232
n-dakota-st,"N.Dakota St.",NS,2010-11,2017-18,8,131
n-florida,"N.Florida",N.FLOR,2010-11,2017-18,8,131
n-georgia,"N.Georgia",N.GEOR,2016-17,2020-21,3,37
n-greenville,"N.Greenville",N.GREE,2012-13,2017-18,4,45
n-illinois,"N.Illinois",N.ILLI,2010-11,2017-18,8,146
n-iowa,"N.Iowa",N.IOWA,2010-11,2017-18,8,139
n-kentucky,"N.Kentucky",N.KENT,2012-13,2017-18,6,86
n-mexico,"N.Mexico",N.MEXI,2010-11,2025-26,16,245
n-mexico-highlands,"N.Mexico Highlands",NH,2014-15,2017-18,3,32
n-mexico-st,"N.Mexico St.",NS,2010-11,2017-18,8,140
n-michigan,"N.Michigan",N.MICH,2013-14,2015-16,2,22
n-texas,"N.Texas",N.TEXA,2010-11,2025-26,16,240
nau,"NAU",NAU,2018-19,2025-26,8,109
navy,"Navy",NAVY,2010-11,2025-26,16,329
nazareth,"Nazareth",NAZARE,2016-17,2024-25,5,67
nc-a-t,"NC A&T",NC A&T,2018-19,2025-26,8,108
nc-asheville,"NC-Asheville",NC-ASH,2010-11,2017-18,8,148
nc-greensboro,"NC-Greensboro",NC-GRE,2010-11,2017-18,8,159
nc-state,"NC State",NS,2010-11,2025-26,16,243
nc-wesleyan,"NC Wesleyan",NW,2024-25,2024-25,1,14
nc-wesleyan,"NC-Wesleyan",NC-WES,2013-14,2020-21,8,116
nc-wilmington,"NC-Wilmington",NC-WIL,2010-11,2017-18,8,138
nccu,"NCCU",NCCU,2018-19,2025-26,8,109
ndc,"NDC",NDC,2018-19,2018-19,1,13
ndn,"NDN",NDN,2019-20,2019-20,1,15
ndsu,"NDSU",NDSU,2018-19,2025-26,8,95
nebr-wesleyan,"Nebr.Wesleyan",NEBR.W,2019-20,2019-20,1,9
nebraska,"Nebraska",NEBRAS,2010-11,2025-26,16,245
nebraska-chr,"Nebraska Chr.",NC,2017-18,2017-18,1,13
nelson,"Nelson",NELSON,2023-24,2024-25,2,20
neumann,"Neumann",NEUMAN,2024-25,2024-25,1,14
nevada,"Nevada",NEVADA,2010-11,2025-26,16,232
new-college-fl,"New College FL",NCF,2024-25,2024-25,1,14
new-england,"New England",NE,2023-24,2023-24,1,11
new-hampshire,"New Hampshire",NH,2010-11,2017-18,8,136
new-hope-cc,"New Hope CC",NHC,2015-16,2016-17,2,17
new-orleans,"New Orleans",NO,2010-11,2025-26,16,261
new-rochelle,"New Rochelle",NR,2017-18,2018-19,2,30
newberry,"Newberry",NEWBER,2012-13,2024-25,6,78
newbury,"Newbury",NEWBUR,2014-15,2018-19,2,24
newman,"Newman",NEWMAN,2011-12,2020-21,3,40
ngu,"NGU",NGU,2018-19,2024-25,4,51
niagara,"Niagara",NIAGAR,2010-11,2025-26,16,229
nicholls,"Nicholls",NICHOL,2023-24,2025-26,3,40
nicholls-st,"Nicholls St.",NS,2010-11,2022-23,13,210
nichols,"Nichols",NICHOL,2014-15,2023-24,2,23
niu,"NIU",NIU,2018-19,2025-26,8,109
njit,"NJIT",NJIT,2010-11,2025-26,16,241
nku,"NKU",NKU,2018-19,2025-26,8,100
nm-state,"NM State",NS,2018-19,2025-26,8,105
nmhu,"NMHU",NMHU,2019-20,2024-25,2,24
nnmc,"NNMC",NNMC,2019-20,2024-25,3,50
nobel,"Nobel",NOBEL,2024-25,2024-25,1,12
norfolk-st,"Norfolk St.",NS,2010-11,2025-26,16,257
north-park,"North Park",NP,2013-14,2023-24,5,72
northeastern,"Northeastern",NORTHE,2010-11,2025-26,16,225
northeastern-st,"Northeastern St.",NS,2016-17,2024-25,3,33
northern-nm,"Northern NM",NN,2011-12,2017-18,7,106
northland,"Northland",NORTHL,2014-15,2023-24,7,99
northwest,"Northwest",NORTHW,2011-12,2024-25,7,87
northwestern,"Northwestern",NORTHW,2010-11,2025-26,16,235
northwestern-st,"Northwestern St.",NS,2010-11,2017-18,8,152
northwood,"Northwood",NORTHW,2017-18,2023-24,2,24
northwood-tx,"Northwood TX",NT,2013-14,2013-14,1,14
notre-dame,"Notre Dame",ND,2010-11,2025-26,16,221
notre-dame-md,"Notre Dame MD",NDM,2023-24,2024-25,2,32
notre-dame-namur,"Notre Dame Namur",NDN,2013-14,2017-18,4,51
notre-dame-oh,"Notre Dame OH",NDO,2011-12,2017-18,5,59
nova-se,"Nova SE",NS,2013-14,2014-15,2,19
nsu,"NSU",NSU,2018-19,2025-26,8,111
